url,collection,date_iso,status,char_count,turn_count,speaker_count,page_format,validation_flags,scrape_timestamp
https://avalon.law.yale.edu/imt/11-17-45.asp,sessions,1945-11-17,ok,13785,8,4,F4,,2026-03-07T17:22:19.752775+00:00
https://avalon.law.yale.edu/imt/11-20-45.asp,sessions,1945-11-20,ok,182979,29,11,MIXED,,2026-03-07T17:22:21.813875+00:00
https://avalon.law.yale.edu/imt/11-21-45.asp,sessions,1945-11-21,ok,171450,69,26,F3,,2026-03-07T17:22:23.529488+00:00
https://avalon.law.yale.edu/imt/11-22-45.asp,sessions,1945-11-22,ok,128219,37,7,F3,,2026-03-07T17:22:25.269054+00:00
https://avalon.law.yale.edu/imt/11-23-45.asp,sessions,1945-11-23,ok,139815,93,13,F3,,2026-03-07T17:22:27.027970+00:00
https://avalon.law.yale.edu/imt/11-26-45.asp,sessions,1945-11-26,ok,125483,64,10,F3,,2026-03-07T17:22:28.784366+00:00
https://avalon.law.yale.edu/imt/11-27-45.asp,sessions,1945-11-27,ok,121635,36,5,F3,,2026-03-07T17:22:30.570353+00:00
https://avalon.law.yale.edu/imt/11-28-45.asp,sessions,1945-11-28,ok,123338,51,8,F3,,2026-03-07T17:22:32.330278+00:00
https://avalon.law.yale.edu/imt/11-29-45.asp,sessions,1945-11-29,ok,108942,24,6,F3,,2026-03-07T17:22:34.078926+00:00
https://avalon.law.yale.edu/imt/11-30-45.asp,sessions,1945-11-30,ok,160623,566,28,F3,,2026-03-07T17:22:35.902637+00:00
https://avalon.law.yale.edu/imt/12-01-45.asp,sessions,1945-12-01,ok,90658,369,34,NONE,NO_PAGE_NUMBERS,2026-03-07T17:22:37.585347+00:00
https://avalon.law.yale.edu/imt/12-03-45.asp,sessions,1945-12-03,ok,148842,53,4,F2,,2026-03-07T17:22:39.361273+00:00
https://avalon.law.yale.edu/imt/12-04-45.asp,sessions,1945-12-04,ok,173643,25,4,F1,,2026-03-07T17:22:41.113941+00:00
https://avalon.law.yale.edu/imt/12-05-45.asp,sessions,1945-12-05,ok,155815,60,7,F2,,2026-03-07T17:22:42.890264+00:00
https://avalon.law.yale.edu/imt/12-06-45.asp,sessions,1945-12-06,ok,173460,63,14,F3,,2026-03-07T17:22:44.715696+00:00
https://avalon.law.yale.edu/imt/12-07-45.asp,sessions,1945-12-07,ok,169828,48,9,F3,,2026-03-07T17:22:46.578377+00:00
https://avalon.law.yale.edu/imt/12-10-45.asp,sessions,1945-12-10,ok,182376,44,4,F2,,2026-03-07T17:22:48.345720+00:00
https://avalon.law.yale.edu/imt/12-11-45.asp,sessions,1945-12-11,ok,46062,43,8,F2,,2026-03-07T17:22:49.991105+00:00
https://avalon.law.yale.edu/imt/12-12-45.asp,sessions,1945-12-12,ok,171617,107,11,F2,,2026-03-07T17:22:51.835951+00:00
https://avalon.law.yale.edu/imt/12-13-45.asp,sessions,1945-12-13,ok,175126,111,8,F3,,2026-03-07T17:22:53.624918+00:00
https://avalon.law.yale.edu/imt/12-14-45.asp,sessions,1945-12-14,ok,170841,121,20,F2,,2026-03-07T17:22:55.360888+00:00
https://avalon.law.yale.edu/imt/12-17-45.asp,sessions,1945-12-17,ok,181755,92,10,F2,,2026-03-07T17:22:57.123421+00:00
https://avalon.law.yale.edu/imt/12-18-45.asp,sessions,1945-12-18,ok,184435,128,4,F2,,2026-03-07T17:22:58.919550+00:00
https://avalon.law.yale.edu/imt/12-19-45.asp,sessions,1945-12-19,ok,172856,72,8,F2,,2026-03-07T17:23:00.645768+00:00
https://avalon.law.yale.edu/imt/12-20-45.asp,sessions,1945-12-20,ok,161260,96,6,F2,,2026-03-07T17:23:02.404886+00:00
https://avalon.law.yale.edu/imt/01-02-46.asp,sessions,1946-01-02,ok,144907,94,8,F2,,2026-03-07T17:23:04.154450+00:00
https://avalon.law.yale.edu/imt/01-03-46.asp,sessions,1946-01-03,ok,163906,939,36,F2,,2026-03-07T17:23:06.010333+00:00
https://avalon.law.yale.edu/imt/01-04-46.asp,sessions,1946-01-04,ok,181838,298,26,F2,,2026-03-07T17:23:07.703763+00:00
https://avalon.law.yale.edu/imt/01-07-46.asp,sessions,1946-01-07,ok,175103,389,22,F2,,2026-03-07T17:23:09.469756+00:00
https://avalon.law.yale.edu/imt/01-08-46.asp,sessions,1946-01-08,ok,189187,41,10,F2,,2026-03-07T17:23:11.200886+00:00
https://avalon.law.yale.edu/imt/01-09-46.asp,sessions,1946-01-09,ok,173913,119,20,F3,,2026-03-07T17:23:13.095097+00:00
https://avalon.law.yale.edu/imt/01-10-46.asp,sessions,1946-01-10,ok,175749,119,13,F3,,2026-03-07T17:23:14.844927+00:00
https://avalon.law.yale.edu/imt/01-11-46.asp,sessions,1946-01-11,ok,171921,428,18,F2,,2026-03-07T17:23:16.641241+00:00
https://avalon.law.yale.edu/imt/01-14-46.asp,sessions,1946-01-14,ok,91254,163,16,F2,,2026-03-07T17:23:18.347822+00:00
https://avalon.law.yale.edu/imt/01-15-46.asp,sessions,1946-01-15,ok,171549,304,11,F2,,2026-03-07T17:23:20.204311+00:00
https://avalon.law.yale.edu/imt/01-16-46.asp,sessions,1946-01-16,ok,198513,116,14,F2,,2026-03-07T17:23:21.949972+00:00
https://avalon.law.yale.edu/imt/01-17-46.asp,sessions,1946-01-17,ok,188702,23,6,F2,,2026-03-07T17:23:23.799070+00:00
https://avalon.law.yale.edu/imt/01-18-46.asp,sessions,1946-01-18,ok,153507,16,4,F2,,2026-03-07T17:23:25.563561+00:00
https://avalon.law.yale.edu/imt/01-19-46.asp,sessions,1946-01-19,ok,84016,5,3,F2,,2026-03-07T17:23:27.288115+00:00
https://avalon.law.yale.edu/imt/01-21-46.asp,sessions,1946-01-21,ok,147056,28,4,F3,,2026-03-07T17:23:29.061941+00:00
https://avalon.law.yale.edu/imt/01-22-46.asp,sessions,1946-01-22,ok,144014,34,7,F2,,2026-03-07T17:23:30.837763+00:00
https://avalon.law.yale.edu/imt/01-23-46.asp,sessions,1946-01-23,ok,162509,76,9,F2,,2026-03-07T17:23:32.601158+00:00
https://avalon.law.yale.edu/imt/01-24-46.asp,sessions,1946-01-24,ok,127376,46,6,F2,,2026-03-07T17:23:34.341987+00:00
https://avalon.law.yale.edu/imt/01-25-46.asp,sessions,1946-01-25,ok,119853,196,14,F2,,2026-03-07T17:23:36.168223+00:00
https://avalon.law.yale.edu/imt/01-28-46.asp,sessions,1946-01-28,ok,170182,606,28,F2,,2026-03-07T17:23:38.103415+00:00
https://avalon.law.yale.edu/imt/01-29-46.asp,sessions,1946-01-29,ok,158523,517,21,F2,,2026-03-07T17:23:39.890869+00:00
https://avalon.law.yale.edu/imt/01-30-46.asp,sessions,1946-01-30,ok,107850,168,8,F2,,2026-03-07T17:23:41.591436+00:00
https://avalon.law.yale.edu/imt/01-31-46.asp,sessions,1946-01-31,ok,130624,77,7,F2,,2026-03-07T17:23:43.346101+00:00
https://avalon.law.yale.edu/imt/02-01-46.asp,sessions,1946-02-01,ok,160596,126,12,F2,,2026-03-07T17:23:45.111733+00:00
https://avalon.law.yale.edu/imt/02-02-46.asp,sessions,1946-02-02,ok,83019,131,10,F2,,2026-03-07T17:23:46.842055+00:00
https://avalon.law.yale.edu/imt/02-04-46.asp,sessions,1946-02-04,ok,176415,179,10,F2,,2026-03-07T17:23:48.813703+00:00
https://avalon.law.yale.edu/imt/02-05-46.asp,sessions,1946-02-05,ok,137842,69,11,F2,,2026-03-07T17:23:50.681640+00:00
https://avalon.law.yale.edu/imt/02-06-46.asp,sessions,1946-02-06,ok,72001,64,9,F2,,2026-03-07T17:23:52.252692+00:00
https://avalon.law.yale.edu/imt/02-07-46.asp,sessions,1946-02-07,ok,190708,87,13,F2,,2026-03-07T17:23:54.082871+00:00
https://avalon.law.yale.edu/imt/02-08-46.asp,sessions,1946-02-08,ok,173992,44,9,F2,,2026-03-07T17:23:55.861253+00:00
https://avalon.law.yale.edu/imt/02-09-46.asp,sessions,1946-02-09,ok,51412,11,3,F2,,2026-03-07T17:23:57.688463+00:00
https://avalon.law.yale.edu/imt/02-11-46.asp,sessions,1946-02-11,ok,137649,134,18,F2,,2026-03-07T17:23:59.520519+00:00
https://avalon.law.yale.edu/imt/02-12-46.asp,sessions,1946-02-12,ok,160608,410,37,F2,,2026-03-07T17:24:01.308993+00:00
https://avalon.law.yale.edu/imt/02-13-46.asp,sessions,1946-02-13,ok,170648,57,6,F2,,2026-03-07T17:24:03.062674+00:00
